Freq.	V(n007)
1.00000000000000e+000	(-3.75314847546071e+001dB,1.04156189663569e+002°)
1.02329299228075e+000	(-3.73184953205548e+001dB,1.03812126701245e+002°)
1.04712854805090e+000	(-3.71060575371573e+001dB,1.03474108183108e+002°)
1.07151930523761e+000	(-3.68941497740256e+001dB,1.03142034109006e+002°)
1.09647819614318e+000	(-3.66827511394234e+001dB,1.02815802972990e+002°)
1.12201845430196e+000	(-3.64718414661462e+001dB,1.02495311963170e+002°)
1.14815362149688e+000	(-3.62614012959718e+001dB,1.02180457128997e+002°)
1.17489755493953e+000	(-3.60514118649003e+001dB,1.01871133573045e+002°)
1.20226443461741e+000	(-3.58418550870403e+001dB,1.01567235607980e+002°)
1.23026877081238e+000	(-3.56327135377909e+001dB,1.01268656891634e+002°)
1.25892541179417e+000	(-3.54239704383551e+001dB,1.00975290598205e+002°)
1.28824955169313e+000	(-3.52156096379709e+001dB,1.00687029518335e+002°)
1.31825673855641e+000	(-3.50076155979533e+001dB,1.00403766206637e+002°)
1.34896288259165e+000	(-3.47999733742731e+001dB,1.00125393077410e+002°)
1.38038426460288e+000	(-3.45926686010264e+001dB,9.98518025184869e+001°)
1.41253754462275e+000	(-3.43856874736420e+001dB,9.95828869867584e+001°)
1.44543977074593e+000	(-3.41790167319695e+001dB,9.93185390874536e+001°)
1.47910838816821e+000	(-3.39726436442025e+001dB,9.90586516686602e+001°)
1.51356124843621e+000	(-3.37665559902225e+001dB,9.88031178822039e+001°)
1.54881661891248e+000	(-3.35607420457346e+001dB,9.85518312567262e+001°)
1.58489319246111e+000	(-3.33551905664224e+001dB,9.83046857559105e+001°)
1.62181009735893e+000	(-3.31498907724947e+001dB,9.80615758342341e+001°)
1.65958690743756e+000	(-3.29448323333447e+001dB,9.78223964792302e+001°)
1.69824365246174e+000	(-3.27400053528912e+001dB,9.75870432616352e+001°)
1.73780082874937e+000	(-3.25354003548653e+001dB,9.73554123647415e+001°)
1.77827941003892e+000	(-3.23310082688595e+001dB,9.71274006246087e+001°)
1.81970085860998e+000	(-3.21268204164204e+001dB,9.69029055525025e+001°)
1.86208713666287e+000	(-3.19228284976114e+001dB,9.66818253561791e+001°)
1.90546071796325e+000	(-3.17190245781449e+001dB,9.64640589647975e+001°)
1.94984459975804e+000	(-3.15154010767148e+001dB,9.62495060418746e+001°)
1.99526231496888e+000	(-3.13119507527549e+001dB,9.60380669955927e+001°)
2.04173794466953e+000	(-3.11086666945971e+001dB,9.58296429854594e+001°)
2.08929613085404e+000	(-3.09055423081904e+001dB,9.56241359334250e+001°)
2.13796208950223e+000	(-3.07025713059545e+001dB,9.54214485194680e+001°)
